1,2,3,4,5,x
1,22,3,1,58,1
1,23,3,1,19,1
2,15,3,1,17,1
1,23,3,2,49,1
2,7,11,2,55,1
2,9,5,2,19,1
1,22,3,2,58,1
2,10,22,2,9,1
2,13,1,2,30,1
2,18,21,2,29,1
2,6,17,2,39,1
2,6,17,2,42,0
2,7,11,2,10,0
2,22,3,2,46,0
2,13,3,1,10,0
2,7,25,2,42,0
2,1,15,1,22,0
2,7,11,2,13,0
2,11,1,2,51,0
2,13,1,2,31,0
2,16,8,2,36,0
2,5,2,2,48,0
2,18,21,2,19,1
2,7,11,1,20,1
2,9,5,2,24,1
1,17,17,2,31,1
2,1,15,2,31,1
1,11,16,2,22,0
2,9,2,2,14,0
2,13,1,2,20,0
2,23,3,1,20,0
1,23,3,1,20,0
2,13,1,2,29,0
2,8,7,2,23,0
2,23,3,2,12,0
2,2,9,2,29,0
2,13,14,2,17,1
2,9,6,2,7,1
1,10,3,2,21,1
1,13,1,2,54,1
1,8,3,2,29,1
2,20,2,2,45,1
2,22,1,2,11,0
2,18,12,2,16,0
2,9,6,2,5,0
2,10,3,2,19,0
2,17,18,2,29,0
2,3,2,2,37,0
2,3,2,2,26,0
2,10,3,2,12,0
1,18,7,2,48,0
2,22,1,2,51,0
2,2,10,2,27,0
