1,2,3,4,5,6,7,x
2,1,0.74,0.78,1.09,0.79,1.59,0
4,1,1.44,2.01,2.96,1.27,4.05,0
5,0,2.48,4.61,4.16,2.16,6,0
6,1,0.84,2.39,2.76,0.87,4.17,0
7,1,0.37,1.37,1.08,0.85,3.45,0
8,0,0.37,0.84,0.26,0.47,0.9,0
10,0,3.38,5.56,2.76,3.1,5.06,1
11,0,0.69,1.46,1.07,0.64,1.95,1
13,0,0.44,1.05,0.24,0.44,0.94,1
14,1,0.76,1.24,0.7,0.67,0.94,1
15,0,1.13,2.28,0.97,1.66,2.21,0
16,1,0.88,1.58,1.06,1.13,1.46,0
45,0,0.17,0.55,0.13,0.27,0.35,0
46,1,0.25,0.77,0.1,0.3,0.34,0
47,1,0.78,1.45,0.38,0.58,0.67,0
48,0,0.4,0.34,0.45,0.43,0.44,0
49,0,0.52,0.79,0.42,0.47,0.53,0
51,1,0.9,2.45,0.52,1.32,2.18,0
57,1,0.3,0.69,1.03,0.22,1.88,0
59,1,0.76,1.25,1.85,1.36,2.17,0
61,1,1.08,0.99,1.44,1,1.64,0
62,0,1.11,0.8,1.46,1.48,0.4,0
63,0,3.43,2.55,5.08,1.77,4.2,1
65,0,0.39,0.44,0.49,0.55,0.51,1
68,0,0.39,1.22,0.25,0.46,0.89,1
95,1,1.7,2.18,1.45,1.47,2.2,1
97,0,0.07,0.22,0.02,0.08,0.24,1
100,0,1.67,3.46,1.02,1.89,2.47,1
102,0,1.79,3.13,1.83,1.82,3.11,0
104,0,0,0.15,0,0.04,0.04,0
106,1,0.31,1.15,0.01,0.44,0.66,0
107,0,0.96,0.88,2.65,0.85,1.48,0
108,1,1.04,1.2,1.27,1.39,1.2,0
111,0,1.83,2.93,1.8,1.62,3.02,0
114,1,1.1,1.71,2.05,1.3,4.04,0
120,1,4.06,6.71,4.34,3.29,6.4,0
124,1,0.56,2.88,0.37,1.25,1.74,1
125,1,1.74,3.45,2.14,1,4.39,1
126,0,1.59,3.19,2.36,1.53,3.03,1
127,1,1.91,4.74,1.71,2.03,3.24,1
128,0,2.09,5.23,2.12,2.77,4.44,1
129,1,1.59,3.92,1.38,2.11,3.01,0
130,0,0.66,2.22,0.21,1.41,0.8,0
133,0,0.22,0.62,0.15,0.13,0.42,0
134,1,1.11,1.7,1.32,0.57,1.54,0
136,1,5.12,5.25,5.95,3.97,5.37,0
171,1,0.12,0.6,0.19,0.28,0.7,0
177,1,1.01,2.32,1.14,0.81,2.09,0
181,0,2.35,4.29,4.24,1.67,5.48,0
183,1,1.16,3.06,2.44,1.52,4.01,0
184,0,1.63,3.31,2.21,2.36,3.25,0
186,1,6,6.15,9.42,3.6,7.84,0
188,1,0.36,0.15,0,0.19,0.06,1
190,1,1.36,3.43,1.38,1.86,2.91,1
