1,2,3,4,5,6,7,x
47,1,0.78,1.45,0.38,0.58,0.67,0
49,0,0.52,0.79,0.42,0.47,0.53,0
50,1,2.73,2.09,2.24,4.02,2.52,0
54,0,0.63,1.31,0.76,0.71,1.28,0
57,1,0.3,0.69,1.03,0.22,1.88,0
58,0,0.88,1.32,1.87,0.58,2.97,0
60,0,1.25,1,2.04,0.71,2.22,0
62,0,1.11,0.8,1.46,1.48,0.4,0
102,0,1.79,3.13,1.83,1.82,3.11,0
103,1,0.19,1.05,0.08,0.4,0.57,0
114,1,1.1,1.71,2.05,1.3,4.04,0
122,0,0.76,1.83,1.5,0.41,2.56,0
123,0,1.53,3.62,1.52,1.62,2.86,1
174,1,0.57,1.53,0.3,0.72,1.38,0
180,1,2.36,1.15,1.84,1.73,2.33,0
183,1,1.16,3.06,2.44,1.52,4.01,0
186,1,6,6.15,9.42,3.6,7.84,0
187,0,2.67,6.93,2.74,3.03,6.39,1
188,1,0.36,0.15,0,0.19,0.06,1
190,1,1.36,3.43,1.38,1.86,2.91,1
192,1,2.37,1.94,2.46,2.47,2.39,1
