1,2,3,4,5,x
1,23,3,1,19,1
2,15,3,1,17,1
2,7,11,2,55,1
2,9,5,2,19,1
2,10,3,2,27,1
2,15,3,1,20,1
2,10,22,2,9,1
2,7,11,2,10,0
2,13,3,1,10,0
2,7,25,2,42,0
2,2,9,2,31,0
2,1,15,1,22,0
2,7,11,2,13,0
2,22,3,2,28,0
2,11,1,2,51,0
2,18,5,2,19,0
2,5,2,2,37,0
2,16,8,2,36,0
2,14,15,2,38,0
1,23,3,1,25,1
2,9,2,2,39,1
1,22,3,2,45,1
2,14,22,2,17,1
2,18,25,2,25,1
2,1,15,2,31,1
1,22,13,2,27,0
1,6,17,2,35,0
1,22,3,2,15,0
2,20,2,2,14,0
1,23,3,2,38,0
2,13,1,2,29,0
1,14,15,2,32,0
2,8,3,2,27,0
2,12,7,2,34,0
2,15,1,2,66,0
2,23,3,2,12,0
2,15,1,2,19,0
2,13,14,2,17,1
2,9,6,2,7,1
2,14,15,2,36,1
1,13,1,2,54,1
2,20,2,2,45,1
2,18,12,2,16,0
2,9,24,2,20,0
2,9,6,2,5,0
2,22,1,2,42,0
2,7,11,2,30,0
2,17,18,2,29,0
2,19,4,2,10,0
2,23,3,2,24,0
2,10,3,2,12,0
1,18,7,2,48,0
2,2,10,2,27,0
