1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,x
26,13,0,1,0,1,0,0,0,0,1,0,0,0,1,0,107.9,186.7,68.4,56.7,3197,0,0,1,0,0,0,0,0,0,1,0,0,0,0,152,0,0,0,1,0,0,0,0,32,29,21,57,0,28,33,28,1
15,12,1,0,0,1,0,0,0,0,1,0,0,1,0,0,100.4,181.7,66.5,55.1,3095,0,0,0,0,0,1,0,0,0,0,1,0,0,0,181,0,0,0,0,0,1,0,0,21,20,9,19,12,17,22,32,1
27,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,99.4,176.6,66.4,54.3,2824,0,0,0,1,0,0,0,0,1,0,0,0,0,0,136,0,0,0,0,0,1,0,0,13,24,8,8,16,18,22,61,0
29,15,1,0,0,0,1,0,0,1,0,0,0,0,1,0,94.5,168.9,68.3,50.2,2778,0,0,0,1,0,0,0,0,0,1,0,0,0,0,151,0,0,0,0,0,1,0,0,37,13,9.5,17,16,19,27,78,0
33,19,1,0,0,0,1,0,0,1,0,0,0,0,1,0,102.9,183.5,67.7,52,3016,1,0,0,0,0,0,0,0,0,0,1,0,0,0,171,0,0,0,0,0,1,0,0,15,22,9.3,24,12,19,24,48,0
51,20,1,0,0,1,0,0,0,0,0,1,0,1,0,0,100.4,183.1,66.9,55.1,2563,0,0,0,1,0,0,0,0,0,1,0,0,0,0,109,0,0,0,0,0,1,0,0,13,24,9,53,16,25,31,21,1
40,19,1,0,0,1,0,0,0,0,0,1,1,0,0,0,95.7,169.7,63.6,59.1,2290,0,0,0,1,0,0,0,0,0,1,0,0,0,0,92,0,1,0,0,0,0,0,0,8,9,9,40,8,27,32,148,1
45,19,1,0,0,1,0,0,0,0,1,0,0,0,1,0,104.5,187.8,66.5,54.1,3131,1,0,0,0,0,0,0,0,0,0,1,0,0,0,171,0,0,0,0,0,1,0,0,15,22,9.2,22,12,20,24,45,0
13,20,0,0,0,0,1,0,0,0,1,0,0,1,0,0,97.3,171.7,65.5,55.7,2261,0,0,0,1,0,0,0,0,0,1,0,0,0,0,97,0,0,0,1,0,0,0,0,6,24,23,35,8,37,46,144,0
17,19,1,0,0,0,1,0,1,0,0,0,0,0,1,0,98.4,176.2,65.6,52,2679,0,0,0,1,0,0,0,0,0,1,0,0,0,0,146,0,0,0,0,0,1,0,0,30,28,9.3,9,8,24,30,10,0
